timestamp,value,label
1397106240.0,94.0,0
1397106540.0,56.0,0
1397106840.0,187.0,0
1397107140.0,95.0,0
1397107440.0,51.0,0
1397107740.0,10.0,0
1397108040.0,49.0,0
1397108340.0,79.0,0
1397108640.0,24.0,0
1397108940.0,73.0,0
1397109240.0,45.0,0
1397109540.0,9.0,0
1397109840.0,33.0,0
1397110140.0,14.0,0
1397110440.0,57.0,0
1397110740.0,139.0,0
1397111040.0,21.0,0
1397111340.0,47.0,0
1397111640.0,124.0,0
1397111940.0,34.0,0
1397112240.0,73.0,0
1397112540.0,6.0,0
1397112840.0,115.0,0
1397113140.0,14.0,0
1397113440.0,21.0,0
1397113740.0,91.0,0
1397114040.0,55.0,0
1397114340.0,85.0,0
1397114640.0,102.0,0
1397114940.0,119.0,0
1397115240.0,139.0,0
1397115540.0,69.0,0
1397115840.0,142.0,0
1397116140.0,45.0,0
1397116440.0,48.0,0
1397116740.0,3.0,0
1397117040.0,32.0,0
1397117340.0,4.0,0
1397117640.0,72.0,0
1397117940.0,103.0,0
1397118240.0,64.0,0
1397118540.0,44.0,0
1397118840.0,30.0,0
1397119140.0,4.0,0
1397119440.0,4.0,0
1397119740.0,79.0,0
1397120040.0,83.0,0
1397120340.0,3.0,0
1397120640.0,21.0,0
1397120940.0,33.0,0
1397121240.0,72.0,0
1397121540.0,87.0,0
1397121840.0,190.0,0
1397122140.0,10.0,0
1397122440.0,44.0,0
1397122740.0,24.0,0
1397123040.0,32.0,0
1397123340.0,111.0,0
1397123640.0,106.0,0
1397123940.0,49.0,0
1397124240.0,56.0,0
1397124540.0,79.0,0
1397124840.0,42.0,0
1397125140.0,112.0,0
1397125440.0,21.0,0
1397125740.0,48.0,0
1397126040.0,48.0,0
1397126340.0,91.0,0
1397126640.0,191.0,0
1397126940.0,8.0,0
1397127240.0,25.0,0
1397127540.0,93.0,0
1397127840.0,37.0,0
1397128140.0,24.0,0
1397128440.0,35.0,0
1397128740.0,45.0,0
1397129040.0,11.0,0
1397129340.0,50.0,0
1397129640.0,3.0,0
1397129940.0,75.0,0
1397130240.0,79.0,0
1397130540.0,22.0,0
1397130840.0,143.0,0
1397131140.0,24.0,0
1397131440.0,222.0,0
1397131740.0,57.0,0
1397132040.0,10.0,0
1397132340.0,46.0,0
1397132640.0,6.0,0
1397132940.0,60.0,0
1397133240.0,30.0,0
1397133540.0,17.0,0
1397133840.0,11.0,0
1397134140.0,107.0,0
1397134440.0,120.0,0
1397134740.0,4.0,0
1397135040.0,150.0,0
1397135340.0,90.0,0
1397135640.0,52.0,0
1397135940.0,35.0,0
1397136240.0,8.0,0
1397136540.0,5.0,0
1397136840.0,167.0,0
1397137140.0,139.0,0
1397137440.0,54.0,0
1397137740.0,3.0,0
1397138040.0,102.0,0
1397138340.0,12.0,0
1397138640.0,17.0,0
1397138940.0,66.0,0
1397139240.0,94.0,0
1397139540.0,6.0,0
1397139840.0,102.0,0
1397140140.0,82.0,0
1397140440.0,45.0,0
1397140740.0,8.0,0
1397141040.0,3.0,0
1397141340.0,107.0,0
1397141640.0,15.0,0
1397141940.0,9.0,0
1397142240.0,1.0,0
1397142540.0,61.0,0
1397142840.0,50.0,0
1397143140.0,86.0,0
1397143440.0,69.0,0
1397143740.0,5.0,0
1397144040.0,59.0,0
1397144340.0,34.0,0
1397144640.0,95.0,0
1397144940.0,80.0,0
1397145240.0,146.0,0
1397145540.0,72.0,0
1397145840.0,44.0,0
1397146140.0,105.0,0
1397146440.0,68.0,0
1397146740.0,40.0,0
1397147040.0,14.0,0
1397147340.0,6.0,0
1397147940.0,79.0,0
1397148240.0,183.0,0
1397148540.0,138.0,0
1397148840.0,119.0,0
1397149140.0,255.0,0
1397149440.0,74.0,0
1397149740.0,35.0,0
1397150040.0,12.0,0
1397150340.0,68.0,0
1397150640.0,1.0,0
1397150940.0,98.0,0
1397151240.0,21.0,0
1397151540.0,67.0,0
1397151840.0,176.0,0
1397152140.0,199.0,0
1397152440.0,120.0,0
1397152740.0,63.0,0
1397153040.0,182.0,0
